Name,Location,Region,Length,Type,Year
LEP Tunnel,CERN,Switzerland/France,26659,Particle Accelerator,1989
stanbul Metro (Line M4),stanbul,Turkey,26500,Metro,2012
Hakkda Tunnel (Thoku Shinkansen),Hakkda Mountains,Japan,26455,Railway,2010
Shanghai Subway: Line 9,Shanghai,China,26263,Metro,2007
Daegu Metro: Line 1,Daegu,South Korea,25900,Metro,1997
Iwate-Ichinohe Tunnel,u Mountains,Japan,25810,Railway,2002
Suzhou Subway: Line 1,Suzhou,China,25739,Metro,2007
Lærdal Tunnel,Lærdal - Aurland,Norway,24510,Road,2000
Yellow Line (Delhi Metro):GTB Nagar - Qutub Minar,Delhi,India,24000,Metro,2004
Chengdu Metro Line 1,Chengdu,China,23900,Metro,2015
Metro Madrid: L-1,Madrid,Spain,23876,Metro,1919
Lainzer/Wienerwaldtunnel,west of Vienna,Austria,23844,Railway,2012
Metro Madrid: L-6,Madrid,Spain,23472,Metro,1979
Angrignon - Honor - Beaugrand (Line 1 Green),Montreal Metro,Canada,23262,Metro,1966
Warsaw Metro L-1:Kabaty - Mociny,Warsaw,Poland,23100,Metro,1983
Beijing Subway: Line 2,Beijing,China,23100,Metro,1969
Chengdu Metro Line 4,Chengdu,China,22400,Metro,2015
Iiyama Tunnel,Iiyama,Japan,22225,Railway,2015
Daishimizu Tunnel,Mount Tanigawa,Japan,22221,Railway,1982
Taipei Metro: Orange Line (Fu Jen University - Nanshijiao),Taipei,Taiwan,25100,Metro,1998
UNK proton accelerator,Protvino (near Moscow),Russia,21000,Particle Accelerator,1994
Guangfo Metro,Foshan,China,20900,Metro,2010
Luliangshan Tunnel,Shanxi,China,20785,Railway,2011
Shanghai Subway: Line 4,Shanghai,China,20740,Metro,2005
Barcelona Metro: Line 1,Barcelona,Spain,20700,Metro,1926
Busan Metro: Line 1(Hadan-Busan Nat'l Univ. of Education),Busan,South Korea,20600,Metro,1985
Xian Subway: Line 2,Xian,China,20500,Metro,2011
Daejeon Metro: Line 1,Daejeon,South Korea,20470,Metro,2006
Nanjing Subway: Line 2,Nanjing,China,20380,Metro,2010
Shanghai Subway: Line 6,Shanghai,China,20336,Metro,2007
Geumjeong Tunnel,Busan,South Korea,20323,Railway,2010
Wushaoling Tunnel,Wuwei,China,20060,Railway,2006
Taipei Metro: Orange Line (Luzhou - Nanshijiao),Taipei,Taiwan,19600,Metro,1998
Simplon Tunnel,Lepontine Alps,Switzerland/Italy,19803,Railway,1906
Koltsevaya Line (Circle Line),Moscow Metro,Russia,19400,Metro,1950
Seoul Metropolitan Subway: Bundang Line(Suwon Station-Jukjeon Station),<missing>,South Korea,19300,Metro,2007
Mass Rapid Transit (Singapore): North East Line,Singapore,Singapore,19200,Metro,2003
Suzhou Subway: Line 2,Suzhou,China,19146,Metro,2009
Maskoskaja Line,Minsk Metro,Belarus,19100,Metro,2014
Vereina,Silvretta,Switzerland,19058,Railway,1999
Seoul Subway: Line 4(Ssangmun-Ichon),Seoul,South Korea,19000,Metro,1980
Shin Kanmon Tunnel,Kanmon Straits,Japan,18713,Railway,1975
Vaglia,Bologna - Firenze,Italy,18711,Railway,2009
Apennine Base Tunnel,Tuscan-Emilian Apennines,Italy,18507,Railway,1934
Kurenivsko-Chervonoarmiyska Line,Kiev Metro,Ukraine,18480,Metro,1976
Qinling Tunnel I-II,Qin Mountains,China,18460,Railway,2000
Yamate Tunnel,Tokyo,Japan,18200,Road,2015
Shanghai Subway: Line 17,Shanghai,China,18110,Metro,1995
Avtozavodskaya Line,Minsk Metro,Belarus,18100,Metro,2005
Zhongnanshan,<missing>,China,18040,Road,2007
Line 2 (Athens Metro),Athens,Greece,17900,Metro,1991
Line 3 (Athens Metro),Athens,Greece,17800,Metro,1991
Beijing Subway: Line 5,Beijing,China,17825,Metro,2007
Jingpingshan,Sichuan,China,17500,Road,2008
Shenzhen Subway:Longgang Line,Shenzhen,China,17333,Metro,2010
Kholodnohirsko Zavodska Line,Kharkiv Metro,Ukraine,17300,Metro,1975
Seoul Metropolitan Subway: Shinbundang Line,<missing>,South Korea,17300,Metro,2011
Gotthard Road Tunnel,Lepontine Alps,Switzerland,16918,Road,1980
Guangzhou Metro: Line 43,Guangzhou,China,16790,Metro,2005
Barcelona Metro: Line 4,Barcelona,Spain,16700,Metro,1929
Barcelona Metro: Line 3,Barcelona,Spain,16600,Metro,1924
Seoul Subway: Line 2(Jamsil-Sillim),Seoul,South Korea,16700,Metro,1980
Barcelona Metro: Line 5,Barcelona,Spain,16600,Metro,1959
Ankara Metro (Kizilay- ayyolu),Ankara,Turkey,16590,Metro,2002
stanbul Metro (Line M2),stanbul,Turkey,16500,Metro,2000
Beijing Subway: Line 9,Beijing,China,16500,Metro,2011
Metro Madrid: L-8,Madrid,Spain,16467,Metro,1998
Guangzhou Metro: Line 1,Guangzhou,China,16449,Metro,1997
Metro Madrid: L-3,Madrid,Spain,16424,Metro,1939
Rokk Tunnel,Mount Rokk,Japan,16250,Railway,1972
Solan Tunnel,Taebaek,South Korea,16240,Railway,2012
Seoul Subway: Line 7(Suraksan-Konkuk University),Seoul,South Korea,16000,Metro,1996
stanbul Metro (Line M3),stanbul,Turkey,15900,Metro,2013
Henderson Tunnel,Front Range,United States,15800,Railway,1976
Budapest Metro: Line 3,<missing>,Hungary,15500,Metro,1990
Furka Base,Urner Alps,Switzerland,15442,Railway,1982
Seoul Subway: Line 3(Gupabal-Geumho),Seoul,South Korea,15400,Metro,1985
Tianjin Subway: Line 1,Tianjin,China,15378,Metro,1976
Haruna,Gunma Prefecture,Japan,15350,Railway,1982
Severomuysky Tunnel,Severomuysky Range,Russia,15343,Railway,2003
Firenzuola,Bologna - Firenze,Italy,15285,Railway,2009
Shanghai Subway: Line 2,Shanghai,China,15274,Metro,2000
Beijing Subway: Line 8,Beijing,China,15200,Metro,2008
Gorigamine Tunnel,Takasaki - Nagano,Japan,15175,Railway,1997
Monte Santomarco,Paola - Cosenza,Italy,15040,Railway,1987
Gotthard Rail Tunnel,Lepontine Alps,Switzerland,15003,Railway,1882
Gwangju Metro: Line 1(Hakdong Jeungsimsa-GwangjuSongjeong),Gwangju,South Korea,15000,Metro,2004
Nakayama Tunnel,Gunma Prefecture,Japan,14857,Railway,1982
Cuajone-El Sargento,Ilo-Toquepala / Cuajone Industrial Railroad - Southern Peru Copper Corporation,Peru,14724,Railway,1975
Mount Macdonald Tunnel,Rogers Pass,Canada,14723,Railway,1989
Lötschberg Tunnel,Alps,Switzerland,14612,Railway,1913
Romerike Tunnel,Oslo - Lillestr m,Norway,14580,Railway,1999
Seoul Metropolitan Subway: Line 4 (Isu-Beomgye),Seoul,South Korea,14500,Metro,1980
"Tunnelbana 3 (Blue line), Kungsträdgården-Hjulsta",Stockholm,Sweden,14300,Metro,1975
Dayaoshan Tunnel,Nanling Mountains,China,14294,Railway,1987
Guangzhou Subway: Line 8,Guangzhou,China,14200,Metro,2003
Metro Lisbon - Blue (Seagull) Line,Lisbon,Portugal,14000,Metro,1959
Arlberg Road Tunnel,Arlberg,Austria,13972,Road,1978
Hokuriku Tunnel,Fukui Prefecture,Japan,13870,Railway,1962
Xiapu Tunnel,Fujian,China,13838,Railway,2009
Yesanguan Tunnel,Hubei,China,13838,Railway,2010
Xishan Tunnel,Shanxi,China,13654,Road,2012
Fréjus (Mont Cenis),Alps,France/Italy,13636,Railway,1871
North Tianshan Tunnel,Xinjiang,China,13610,Railway,2009
Marmaray,Istanbul,Turkey,13600,Railway,2013
Savio Rail Tunnel,Helsinki - Kerava,Finland,13575,Railway,2008
Busan Metro: Line 3(Suyeong-Deokcheon),Busan,South Korea,13500,Metro,2005
Shin Shimizu Tunnel,Mount Tanigawa,Japan,13500,Railway,1967
Hex River Tunnel,Hex River Pass,South Africa,13400,Railway,1989
Wonhyo Tunnel,Ulsan,South Korea,13270,Railway,2010
Dabieshan Tunnel,Hubei,China,13256,Railway,2008
Schlern Tunnel,South Tyrol,Italy,13159,Railway,1993
Caponero-Capoverde,Genova - Ventimiglia,Italy,13135,Railway,2001
Hongtiguan Tunnel,Shanxi,China,13122,Road,2013
Barcelona Metro: Line 2,Barcelona,Spain,13100,Metro,1985
Aki Tunnel,Sanyo Shinkansen,Japan,13030,Railway,1975
